MUSE Name,First Name,Last Name,"Type, Category",Country,Era,Birth Year,Death year,Famous Work(s),Core SUTRA(s),Themes/ Keywords,Bananasutra Notes,Key Quotes,Primary Source,Additional Sources,Status,Auto ID,MUSE ID,LYRICS,Count (LYRICS)
Henry David Thoreau,Henry David,Thoreau,"Author,Philosopher",US,19th C,1817,1862,"Walden, Civil Disobedience, The Maine Woods","BLOWsutra,GROWsutra,KNOWsutra","philosophy,resistance,nature,spirituality/agnosticism",,,https://en.wikipedia.org/wiki/Henry_David_Thoreau,,Draft,136,M-136,,0
Eckhart Tolle,Eckhart,Tolle,Author,,,,,,KNOWsutra,,,,,,,137,M-137,Truth Don't Care,1
Elon Trusk,Elon,Trusk,Politician,US,Contemporary,,,,BLOWsutra,"satire,resistance,technology critique",,,https://en.wikipedia.org/wiki/Elon_Musk,,Draft,138,M-138,"Chuck Ain't Woke,Woke 'em Whacks,GROCK,Chuck-A-Dick,Twatocracy (Encore et Encore)",5
Desmond Tutu,Desmond,Tutu,"Politician,Philosopher,Saint",ZA,"Late 20th C,Contemporary",1931,2021,"Truth and Reconciliation Commission leadership, speeches","BOWsutra,GLOWsutra,BLOWsutra","spirituality/agnosticism,forgiveness,race/justice,compassion",,,https://en.wikipedia.org/wiki/Desmond_Tutu,,Draft,139,M-139,,0
Mark Twain,Mark,Twain,"Author,Philosopher",US,"19th C,Early 20th C",1835,1910,"The Adventures of Huckleberry Finn, The Adventures of Tom Sawyer","BLOWsutra,SHOWsutra,KNOWsutra","humor/satire,social criticism,truth-telling,absurdity/joy",,,https://en.wikipedia.org/wiki/Mark_Twain,,Draft,140,M-140,,0
Lao Tzu,Lao,Tzu,Philosopher,CN,Ancient,c. 604 BC,c. 531 BC,"Tao Te Ching, Daodejing","FLOWsutra,KNOWsutra,BOWsutra","philosophy,spirituality/agnosticism,nature,wisdom",,,https://en.wikipedia.org/wiki/Laozi,,Draft,141,M-141,,0
Peter Ustinov,Peter,Ustinov,"Actor,Playwright,Comedian",GB/RU,"Mid 20th C,Late 20th C",1921,2004,"Topkapi, Spartacus, Romanoff and Juliet","SHOWsutra,BLOWsutra,GLOWsutra","humor/satire,theater,wit,human nature",,,https://en.wikipedia.org/wiki/Peter_Ustinov,,Draft,142,M-142,,0
Voltaire Voltaire,Voltaire,Voltaire,"Philosopher,Fool",FR,18th C,1694,1778,"Candide, Philosophical Dictionary, Letters Concerning the English Nation",FLOWsutra,"philosophy,freedom,humor/satire,democracy,truth-telling",,,https://en.wikipedia.org/wiki/Voltaire,,Draft,143,M-143,Some Songs Are More Fun Than Others,1
Kurt Vonnegut,Kurt,Vonnegut,Author,US,"Mid 20th C,Late 20th C",1922,2007,"Slaughterhouse-Five, Cat's Cradle, Breakfast of Champions",BLOWsutra,"philosophy,satire,war/peace,absurdity/joy",,,https://en.wikipedia.org/wiki/Kurt_Vonnegut,,Draft,144,M-144,Some Songs Are More Fun Than Others,1
Vladimir Vysotsky,Vladimir,Vysotsky,"Musician,Poet",RU,Mid 20th C,1938,1980,The Echo Song,BLOWsutra,"music,poetry/language,resistance,Russian identity,authenticity",Inspired the Russian BLOWsutra track 'The Echo Song'.,,https://en.wikipedia.org/wiki/Vladimir_Vysotsky,,Draft,145,M-145,The Echo Song,1
Richard Wagner,Richard,Wagner,"Musician,Composer",DE,19th C,1813,1883,"The Ring Cycle, Tristan and Isolde, The Flying Dutchman","GLOWsutra,FLOWsutra,KNOWsutra","music,opera,drama,mythology",,,https://en.wikipedia.org/wiki/Richard_Wagner,,Draft,146,M-146,,0
Tom Waits,Tom,Waits,"Musician,Fool",US,Contemporary,1949,,"Rain Dogs, Closing Time, Tom Traubert's Blues",KNOWsutra,"music,poetry/language,absurdity/joy,storytelling,love/kindness",Inspired the track 'There's No Prayer Like Desire'.,,https://en.wikipedia.org/wiki/Tom_Waits,,Draft,147,M-147,There's No Prayer Like Desire,1
Alan Watts,Alan,Watts,"Philosopher,Author",GB,Mid 20th C,1915,1973,"The Way of Liberation, Nature Man and Woman, The Joyous Cosmology","KNOWsutra,GLOWsutra,BOWsutra","spirituality/agnosticism,philosophy,wisdom,consciousness",,,https://en.wikipedia.org/wiki/Alan_Watts,,Draft,148,M-148,,0
Simone Weil,Simone,Weil,"Author,Philosopher",FR,"Early 20th C,Mid 20th C",1909,1943,"Gravity and Grace, Waiting for God, The Need for Roots","BOWsutra,KNOWsutra,GLOWsutra","spirituality/agnosticism,philosophy,mysticism,suffering",,,https://en.wikipedia.org/wiki/Simone_Weil,,Draft,149,M-149,,0
Oscar Wilde,Oscar,Wilde,"Author,Poet,Playwright,Fool",GB,19th C,1854,1900,"The Picture of Dorian Gray, The Importance of Being Earnest, An Ideal Husband","SHOWsutra,BLOWsutra,GLOWsutra","humor/satire,wit,aestheticism,resistance",,,https://en.wikipedia.org/wiki/Oscar_Wilde,,Draft,150,M-150,,0
Amy Winehouse,Amy,Winehouse,Musician,GB,Contemporary,1983,2011,,FLOWsutra,,,,https://en.wikipedia.org/wiki/Amy_Winehouse,,,158,M-158,Wars Don’t Flow,1
Winnie The Pooh,The Pooh,Winnie,"Fictional,Fool",,,,,,"SHOWsutra,GLOWsutra","absurdity/joy,love/kindness,philosophy,humor/satire,childhood",,,https://en.wikipedia.org/wiki/Winnie-the-Pooh,,Draft,151,M-151,Some Songs Are More Fun Than Others,1
Frank Zappa,Frank,Zappa,"Musician,Fool",US,Late 20th C,1940,1993,"Freak Out!, Over-Nite Sensation, Joe's Garage",SHOWsutra,"music,satire,resistance,social criticism",,,https://en.wikipedia.org/wiki/Frank_Zappa,,Draft,152,M-152,Zappa's Religion,1
